index,age,month,duration,campaign,y,job_management,job_self-employed,job_services,job_technician,job_unknown,marital_married,marital_unknown,education_basic.6y,education_professional.course,education_university.degree,education_unknown,loan_yes,contact_telephone,poutcome_nonexistent
24,55,3,212,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,33,10,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,46,4,325,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
27,38,11,291,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
28,36,7,103,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
29,30,8,121,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
30,34,6,236,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
31,63,8,163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,44,6,134,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
34,55,8,89,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
35,32,5,800,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,34,7,266,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
37,33,5,367,5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
38,34,4,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,23,4,297,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,39,5,138,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
41,30,5,282,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
42,41,4,774,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
43,55,8,60,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
44,30,6,75,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
45,48,7,88,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
46,36,8,474,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
47,46,11,162,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
48,48,4,223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,36,6,112,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
50,53,5,232,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
51,56,5,71,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
52,48,8,642,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
53,35,5,211,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,50,8,293,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
55,32,4,230,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
56,37,6,182,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
57,56,5,154,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
58,35,7,120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,51,5,440,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
60,51,6,297,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
61,44,4,172,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
62,36,5,121,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
63,36,7,616,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
64,47,8,310,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,30,8,126,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
66,32,7,46,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
67,39,7,197,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
68,71,9,313,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
69,34,11,347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,32,5,49,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
71,58,5,226,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
72,21,7,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,39,5,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
74,39,5,173,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
75,39,11,84,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
76,45,5,107,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
77,40,5,371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
79,48,5,115,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
80,25,5,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
81,49,7,284,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
82,33,5,130,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,35,7,61,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
84,33,7,611,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
85,36,6,152,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
86,49,5,363,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
87,30,5,67,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
88,77,7,218,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,34,5,247,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
90,48,5,33,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
91,44,7,73,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
92,50,5,189,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
93,49,7,134,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
94,28,8,489,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
95,50,5,878,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
96,40,6,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,48,5,18,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
98,32,7,50,6,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
99,29,6,255,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
100,29,5,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101,55,11,110,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
102,45,5,56,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
103,52,6,56,8,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
104,32,5,75,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
105,38,5,153,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
106,33,10,233,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
107,29,8,94,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
108,37,8,198,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
109,80,3,156,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
110,57,11,109,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
111,37,5,604,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
112,40,5,84,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
113,43,7,483,7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
114,22,11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
115,41,5,46,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
116,35,7,153,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
117,37,7,179,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
118,44,5,245,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
119,32,7,234,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120,60,8,332,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
121,36,5,131,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
122,51,5,160,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
123,36,5,386,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
124,46,4,201,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
125,30,4,244,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
126,33,9,369,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
128,27,4,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,37,5,73,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
131,37,5,130,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
132,24,4,170,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
133,31,6,91,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
135,33,5,307,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
136,49,8,260,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
137,49,5,170,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
138,31,8,191,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
139,30,7,154,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
140,29,7,404,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
141,41,8,264,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
143,41,6,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
144,42,5,173,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
145,37,6,115,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
146,34,5,407,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
147,51,7,48,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
148,39,5,61,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
149,33,5,207,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
150,39,5,281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
151,27,6,244,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
152,36,7,310,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
154,42,7,95,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
155,35,4,375,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
156,28,3,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,47,5,322,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
158,55,11,142,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
159,34,5,245,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
160,34,11,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
161,44,8,136,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
162,39,7,218,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
163,49,5,249,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
164,36,5,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
165,37,6,179,7,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
166,37,8,356,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
167,40,7,635,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,59,10,268,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
169,49,8,21,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
170,53,6,304,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,57,6,171,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
172,43,5,261,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
173,54,11,1855,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
174,51,11,334,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,35,7,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,53,7,120,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
177,53,11,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
178,34,7,332,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
179,50,6,763,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
180,39,8,144,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
181,27,5,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,44,5,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
184,29,11,157,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
185,42,5,72,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
186,31,4,596,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
187,29,7,263,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
188,60,5,576,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
189,28,5,315,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
190,28,5,390,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
191,40,5,246,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
193,36,7,254,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
194,36,5,190,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
195,49,7,263,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
196,47,5,139,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
197,29,8,220,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
198,35,5,192,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
199,33,6,110,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
200,28,5,318,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
201,44,5,754,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
202,34,7,257,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
203,48,5,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
204,38,5,436,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
205,39,7,297,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
206,35,5,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,26,7,200,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
208,48,7,64,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
209,41,5,190,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
210,37,5,635,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
211,38,6,267,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
212,45,5,397,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
213,45,11,696,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
214,36,6,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
215,45,6,825,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
216,45,11,69,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
217,35,5,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,40,6,1238,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
219,38,7,195,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
220,39,4,189,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
221,52,8,208,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
224,33,4,382,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
225,49,5,282,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
227,34,8,286,9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
228,38,5,276,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,56,8,141,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
230,30,5,417,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,24,4,413,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
232,36,5,322,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
233,40,11,59,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
234,29,6,89,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
235,29,7,166,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
236,46,4,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
237,51,6,222,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
238,27,7,306,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
239,58,5,504,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
240,29,6,101,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
241,43,5,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
242,34,8,104,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
243,27,7,171,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
244,53,11,186,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
245,44,11,25,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
246,30,11,74,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
247,32,8,206,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
248,30,8,638,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
249,46,7,51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
250,39,5,186,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
251,28,5,174,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
252,34,7,243,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
253,50,7,1130,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
254,59,5,386,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
255,27,5,193,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
256,32,7,52,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
257,29,5,141,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
260,52,8,85,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
261,47,11,182,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
262,43,7,393,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
263,36,5,232,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
264,35,6,92,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
265,56,7,154,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
266,55,11,303,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
267,55,5,107,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
268,45,8,226,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
269,30,5,191,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
270,30,7,168,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,58,11,441,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
272,50,11,286,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
273,26,7,151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
274,33,7,546,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
275,34,5,248,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
276,34,7,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
277,29,4,354,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
278,37,5,288,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
279,24,7,55,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
281,35,5,343,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
282,24,5,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
283,33,7,376,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
285,41,6,174,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
286,37,8,80,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
287,44,7,181,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
288,57,8,115,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
289,31,10,164,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
290,56,11,79,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
291,31,8,95,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
292,43,9,270,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
293,55,5,207,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
294,34,5,69,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
295,33,5,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
296,41,5,172,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
297,50,11,146,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
298,31,6,91,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
299,47,5,463,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
300,49,5,141,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
301,59,4,274,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
302,47,5,408,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
303,46,5,243,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
304,26,5,715,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
305,41,5,402,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
306,40,8,198,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
307,47,5,176,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
308,27,7,130,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
310,42,7,156,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
311,39,11,58,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
312,29,5,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313,46,5,445,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
314,41,5,55,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
315,36,5,85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
316,52,8,114,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
317,32,7,154,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
318,31,5,31,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
319,45,8,134,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
320,48,8,132,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
321,32,5,611,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
322,33,11,133,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
323,41,7,153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
324,53,5,274,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
325,51,8,547,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
326,26,10,306,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
327,27,5,350,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
328,31,11,144,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
329,44,7,345,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
330,35,5,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
331,44,5,272,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
332,41,11,124,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
333,34,11,379,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
334,34,5,178,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
335,43,5,663,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
336,39,5,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
338,35,5,354,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
339,47,6,55,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
340,27,5,52,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
341,37,5,547,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
342,52,5,397,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
343,43,5,141,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
344,31,8,76,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
345,29,8,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
346,43,5,126,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
347,47,6,39,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
348,45,8,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
349,39,5,181,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
350,36,7,649,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
351,21,4,293,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
352,28,7,60,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
353,48,4,365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
354,43,8,75,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
355,37,8,220,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
356,59,5,281,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
357,31,5,108,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
358,57,8,107,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
359,44,8,464,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
360,57,6,236,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
361,26,6,237,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
