index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,y
38,34,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,70,1,failure,no
39,23,admin.,married,high.school,no,no,no,cellular,apr,mon,297,4,nonexistent,no
40,39,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,138,1,nonexistent,no
41,30,technician,married,university.degree,no,no,no,telephone,may,fri,282,2,nonexistent,no
43,55,unknown,married,unknown,unknown,yes,no,cellular,aug,thu,60,4,nonexistent,no
44,30,admin.,married,university.degree,no,no,no,telephone,jun,fri,75,1,nonexistent,no
45,48,services,divorced,high.school,no,no,yes,cellular,jul,mon,88,4,nonexistent,no
46,36,technician,single,professional.course,no,yes,no,cellular,aug,thu,474,1,nonexistent,yes
47,46,self-employed,married,basic.4y,no,yes,yes,cellular,nov,tue,162,1,failure,no
48,48,admin.,single,high.school,no,no,no,cellular,apr,mon,223,2,nonexistent,no
49,36,entrepreneur,married,high.school,no,yes,no,telephone,jun,mon,112,4,nonexistent,no
50,53,self-employed,married,university.degree,no,yes,no,telephone,may,wed,232,1,nonexistent,no
51,56,retired,married,basic.9y,no,yes,yes,telephone,may,wed,71,4,nonexistent,no
52,48,blue-collar,married,unknown,unknown,unknown,unknown,cellular,aug,thu,642,3,nonexistent,no
53,35,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,211,1,failure,no
54,50,entrepreneur,married,professional.course,unknown,yes,no,cellular,aug,thu,293,4,nonexistent,no
55,32,technician,single,professional.course,no,yes,yes,cellular,apr,mon,230,1,failure,no
56,37,technician,single,university.degree,no,no,no,telephone,jun,mon,182,2,nonexistent,no
57,56,services,divorced,high.school,unknown,no,no,telephone,may,mon,154,1,nonexistent,no
58,35,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,120,6,nonexistent,no
59,51,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed,440,2,nonexistent,yes
60,51,admin.,married,university.degree,no,no,no,cellular,jun,mon,297,4,nonexistent,yes
61,44,technician,divorced,professional.course,unknown,yes,no,cellular,apr,thu,172,2,nonexistent,no
62,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,121,2,nonexistent,no
63,36,unemployed,married,university.degree,no,no,no,cellular,jul,thu,616,2,nonexistent,no
64,47,admin.,single,university.degree,no,no,no,cellular,aug,thu,310,3,nonexistent,no
65,30,technician,single,professional.course,no,yes,no,cellular,aug,fri,126,1,nonexistent,no
66,32,admin.,married,university.degree,no,no,no,cellular,jul,thu,46,4,nonexistent,no
67,39,admin.,married,university.degree,unknown,yes,no,telephone,jul,wed,197,4,nonexistent,no
68,71,retired,married,professional.course,no,no,no,cellular,sep,fri,313,1,nonexistent,no
69,34,admin.,single,high.school,no,no,no,cellular,nov,wed,347,1,nonexistent,no
70,32,admin.,single,university.degree,unknown,unknown,unknown,telephone,may,tue,49,1,nonexistent,no
71,58,services,married,basic.4y,no,no,no,telephone,may,fri,226,1,nonexistent,no
72,21,blue-collar,single,basic.9y,no,no,no,cellular,jul,wed,219,1,nonexistent,no
73,39,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,8,6,nonexistent,no
74,39,entrepreneur,married,high.school,unknown,no,yes,telephone,may,wed,173,7,nonexistent,no
75,39,management,married,high.school,no,yes,no,cellular,nov,tue,84,1,nonexistent,no
76,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,107,2,nonexistent,no
77,40,admin.,single,high.school,no,no,no,telephone,may,tue,371,2,nonexistent,no
79,48,technician,single,high.school,no,yes,yes,telephone,may,fri,115,2,nonexistent,no
80,25,admin.,single,high.school,no,no,no,telephone,may,tue,268,3,nonexistent,no
81,49,blue-collar,divorced,unknown,unknown,yes,no,cellular,jul,wed,284,1,nonexistent,no
82,33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,mon,130,3,nonexistent,no
83,35,services,single,basic.9y,no,no,no,cellular,jul,fri,61,2,nonexistent,no
84,33,entrepreneur,married,university.degree,no,no,no,cellular,jul,mon,611,2,nonexistent,no
85,36,housemaid,married,basic.4y,no,no,no,telephone,jun,mon,152,2,nonexistent,no
86,49,admin.,single,high.school,no,no,no,telephone,may,tue,363,5,nonexistent,no
87,30,management,married,university.degree,no,no,no,cellular,may,fri,67,1,failure,no
89,34,management,married,university.degree,no,yes,no,telephone,may,fri,247,1,nonexistent,no
90,48,management,divorced,university.degree,unknown,no,no,cellular,may,thu,33,6,nonexistent,no
91,44,management,married,high.school,unknown,no,yes,telephone,jul,mon,73,5,nonexistent,no
92,50,unemployed,married,professional.course,no,no,no,telephone,may,thu,189,1,nonexistent,no
93,49,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,134,1,nonexistent,no
94,28,admin.,single,university.degree,no,no,no,cellular,aug,thu,489,5,nonexistent,yes
95,50,blue-collar,divorced,basic.9y,no,no,no,telephone,may,fri,878,3,nonexistent,no
96,40,admin.,single,high.school,no,yes,no,cellular,jun,tue,154,1,failure,no
97,48,services,married,basic.9y,unknown,no,no,cellular,may,fri,18,8,nonexistent,no
98,32,technician,married,university.degree,no,yes,yes,telephone,jul,thu,50,6,nonexistent,no
99,29,admin.,married,high.school,no,no,no,telephone,jun,mon,255,1,nonexistent,no
100,29,admin.,single,high.school,no,yes,no,telephone,may,mon,26,1,nonexistent,no
101,55,entrepreneur,divorced,university.degree,no,no,no,cellular,nov,fri,110,2,nonexistent,no
102,45,unknown,married,unknown,unknown,yes,no,telephone,may,thu,56,2,nonexistent,no
103,52,technician,divorced,professional.course,unknown,yes,no,telephone,jun,mon,56,8,nonexistent,no
104,32,technician,single,university.degree,no,yes,no,cellular,may,wed,75,4,nonexistent,no
105,38,technician,married,professional.course,unknown,yes,no,telephone,may,tue,153,2,nonexistent,no
106,33,admin.,single,university.degree,no,yes,no,cellular,oct,fri,233,1,nonexistent,yes
107,29,technician,single,professional.course,no,yes,no,cellular,aug,thu,94,4,nonexistent,no
108,37,admin.,married,university.degree,no,yes,no,cellular,aug,tue,198,2,nonexistent,no
110,57,management,married,university.degree,no,yes,no,telephone,nov,fri,109,1,nonexistent,no
111,37,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,604,4,nonexistent,yes
112,40,admin.,married,high.school,unknown,no,yes,telephone,may,fri,84,3,nonexistent,no
113,43,services,divorced,unknown,unknown,yes,yes,cellular,jul,tue,483,7,nonexistent,no
114,22,blue-collar,single,basic.4y,no,yes,no,telephone,nov,thu,16,1,nonexistent,no
115,41,self-employed,married,professional.course,no,yes,no,cellular,may,thu,46,1,nonexistent,no
116,35,blue-collar,single,basic.6y,unknown,yes,no,cellular,jul,mon,153,1,nonexistent,no
117,37,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,179,2,nonexistent,no
118,44,technician,divorced,professional.course,no,yes,no,cellular,may,thu,245,3,nonexistent,no
119,32,blue-collar,single,high.school,no,no,no,telephone,jul,thu,234,4,nonexistent,no
120,60,retired,married,basic.4y,unknown,no,no,cellular,aug,tue,332,3,nonexistent,no
121,36,blue-collar,married,unknown,no,yes,no,cellular,may,thu,131,1,nonexistent,no
122,51,admin.,divorced,university.degree,no,unknown,unknown,telephone,may,wed,160,2,nonexistent,no
123,36,entrepreneur,married,university.degree,no,no,no,telephone,may,wed,386,3,nonexistent,no
124,46,services,married,high.school,no,yes,no,cellular,apr,wed,201,2,nonexistent,no
125,30,management,single,university.degree,no,no,no,cellular,apr,wed,244,3,nonexistent,no
126,33,admin.,married,university.degree,no,no,no,cellular,sep,mon,369,3,nonexistent,yes
128,27,unemployed,single,basic.9y,no,no,no,cellular,apr,fri,48,2,failure,no
129,37,services,married,high.school,unknown,yes,yes,telephone,may,thu,73,3,nonexistent,no
131,37,services,married,high.school,no,yes,no,cellular,may,wed,130,1,nonexistent,no
132,24,technician,single,university.degree,no,yes,no,cellular,apr,thu,170,1,nonexistent,no
133,31,housemaid,married,basic.4y,no,no,no,telephone,jun,wed,91,2,nonexistent,no
135,33,admin.,married,high.school,no,no,no,telephone,may,wed,307,1,nonexistent,no
136,49,admin.,married,university.degree,no,yes,no,cellular,aug,thu,260,1,nonexistent,no
137,49,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,170,2,nonexistent,no
138,31,technician,single,high.school,no,no,no,cellular,aug,tue,191,1,nonexistent,no
139,30,unemployed,married,basic.9y,no,no,no,cellular,jul,fri,154,2,nonexistent,no
140,29,technician,married,unknown,no,yes,no,cellular,jul,fri,404,1,nonexistent,no
141,41,technician,married,professional.course,no,yes,yes,cellular,aug,fri,264,1,nonexistent,no
143,41,blue-collar,divorced,basic.4y,no,yes,no,telephone,jun,wed,122,1,nonexistent,no
144,42,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,173,2,nonexistent,no
145,37,services,married,high.school,no,no,no,telephone,jun,fri,115,4,nonexistent,no
147,51,services,single,basic.6y,no,yes,no,cellular,jul,fri,48,1,nonexistent,no
148,39,housemaid,married,high.school,no,yes,no,telephone,may,fri,61,2,nonexistent,no
149,33,technician,divorced,high.school,no,no,no,telephone,may,tue,207,1,nonexistent,no
150,39,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,281,1,nonexistent,no
151,27,self-employed,single,university.degree,no,yes,no,telephone,jun,fri,244,2,nonexistent,no
152,36,management,single,university.degree,no,no,no,cellular,jul,mon,310,5,nonexistent,no
154,42,self-employed,married,university.degree,unknown,no,yes,cellular,jul,mon,95,2,nonexistent,no
155,35,management,married,university.degree,no,no,no,cellular,apr,thu,375,1,nonexistent,yes
156,28,admin.,single,high.school,no,yes,no,cellular,mar,fri,300,1,nonexistent,yes
157,47,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,fri,322,1,nonexistent,no
158,55,admin.,single,university.degree,unknown,no,no,cellular,nov,mon,142,1,nonexistent,no
159,34,services,married,high.school,unknown,no,no,cellular,may,tue,245,5,nonexistent,no
160,34,blue-collar,married,basic.4y,no,yes,no,cellular,nov,tue,87,1,nonexistent,no
161,44,self-employed,married,basic.9y,unknown,no,no,cellular,aug,mon,136,10,nonexistent,no
162,39,blue-collar,married,unknown,unknown,no,no,telephone,jul,wed,218,2,nonexistent,no
163,49,services,married,high.school,no,no,no,telephone,may,wed,249,2,nonexistent,no
164,36,blue-collar,single,high.school,unknown,no,no,telephone,may,mon,90,2,nonexistent,no
165,37,management,married,university.degree,unknown,no,yes,telephone,jun,mon,179,7,nonexistent,no
166,37,admin.,married,university.degree,no,yes,no,cellular,aug,tue,356,1,nonexistent,no
167,40,admin.,single,high.school,no,yes,no,cellular,jul,tue,635,3,nonexistent,no
168,59,technician,married,university.degree,no,no,no,cellular,oct,mon,268,1,failure,no
169,49,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,21,3,nonexistent,no
171,57,blue-collar,married,high.school,unknown,no,no,telephone,jun,tue,171,3,nonexistent,no
172,43,technician,married,basic.6y,no,yes,no,telephone,may,wed,261,3,nonexistent,no
175,35,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,tue,123,1,nonexistent,no
176,53,admin.,married,university.degree,no,no,no,telephone,jul,fri,120,1,nonexistent,no
177,53,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,mon,68,1,nonexistent,no
178,34,admin.,divorced,university.degree,no,yes,no,telephone,jul,thu,332,3,failure,yes
179,50,housemaid,divorced,high.school,unknown,yes,no,telephone,jun,wed,763,4,nonexistent,no
180,39,admin.,married,university.degree,unknown,no,no,cellular,aug,thu,144,10,nonexistent,no
181,27,student,single,high.school,no,yes,no,cellular,may,tue,41,1,nonexistent,no
183,44,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu,106,1,nonexistent,no
184,29,self-employed,married,university.degree,no,no,no,cellular,nov,thu,157,2,nonexistent,no
185,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,72,2,nonexistent,no
186,31,technician,single,high.school,no,yes,no,cellular,apr,fri,596,1,failure,no
187,29,technician,married,professional.course,no,no,no,cellular,jul,wed,263,2,nonexistent,no
188,60,retired,married,university.degree,unknown,yes,no,telephone,may,fri,576,1,nonexistent,no
189,28,self-employed,single,university.degree,no,no,yes,cellular,may,mon,315,1,nonexistent,yes
190,28,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,390,1,nonexistent,yes
191,40,services,married,high.school,no,no,no,cellular,may,wed,246,4,failure,no
193,36,services,single,high.school,no,no,no,cellular,jul,fri,254,2,nonexistent,no
194,36,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,mon,190,1,nonexistent,no
195,49,admin.,married,high.school,no,yes,yes,cellular,jul,mon,263,1,nonexistent,no
196,47,admin.,married,university.degree,unknown,no,yes,telephone,may,tue,139,2,nonexistent,no
197,29,admin.,married,university.degree,no,no,yes,cellular,aug,thu,220,3,nonexistent,no
198,35,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,fri,192,6,nonexistent,no
199,33,admin.,married,professional.course,no,no,no,telephone,jun,fri,110,4,nonexistent,no
200,28,services,single,high.school,no,yes,no,telephone,may,mon,318,1,nonexistent,no
201,44,technician,married,professional.course,no,no,no,telephone,may,mon,754,1,nonexistent,no
202,34,management,single,university.degree,no,no,no,cellular,jul,thu,257,2,nonexistent,no
203,48,admin.,divorced,high.school,no,no,no,telephone,may,thu,66,2,nonexistent,no
204,38,technician,married,professional.course,no,no,no,telephone,may,thu,436,1,nonexistent,no
205,39,services,married,high.school,no,no,no,cellular,jul,tue,297,1,nonexistent,no
206,35,blue-collar,single,basic.4y,no,no,no,cellular,may,fri,12,5,nonexistent,no
207,26,admin.,single,university.degree,no,yes,no,cellular,jul,mon,200,2,nonexistent,no
208,48,admin.,married,high.school,unknown,yes,yes,cellular,jul,thu,64,1,nonexistent,no
209,41,blue-collar,married,basic.9y,no,yes,yes,cellular,may,mon,190,8,nonexistent,no
210,37,blue-collar,married,basic.6y,unknown,no,no,cellular,may,thu,635,2,nonexistent,no
211,38,technician,single,university.degree,no,yes,no,telephone,jun,tue,267,1,nonexistent,no
212,45,blue-collar,married,basic.4y,unknown,no,yes,cellular,may,tue,397,1,nonexistent,no
213,45,blue-collar,married,basic.6y,unknown,yes,no,cellular,nov,mon,696,2,nonexistent,yes
214,36,student,single,basic.9y,no,yes,no,telephone,jun,thu,176,1,nonexistent,no
215,45,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,tue,825,1,nonexistent,no
216,45,admin.,divorced,university.degree,no,yes,yes,cellular,nov,fri,69,9,nonexistent,no
217,35,admin.,divorced,high.school,no,yes,no,cellular,may,mon,88,1,failure,no
218,40,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,1238,2,nonexistent,no
219,38,unemployed,married,basic.4y,unknown,no,no,cellular,jul,tue,195,1,nonexistent,no
220,39,admin.,married,high.school,no,yes,no,telephone,apr,tue,189,1,nonexistent,no
221,52,housemaid,married,basic.6y,no,yes,no,cellular,aug,fri,208,1,nonexistent,no
224,33,admin.,single,university.degree,no,yes,no,cellular,apr,fri,382,2,nonexistent,no
225,49,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,282,1,nonexistent,no
227,34,technician,married,professional.course,no,yes,no,cellular,aug,thu,286,9,nonexistent,no
228,38,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,tue,276,1,failure,no
229,56,self-employed,married,basic.9y,no,unknown,unknown,cellular,aug,thu,141,1,nonexistent,no
231,24,student,single,professional.course,no,yes,no,cellular,apr,thu,413,1,nonexistent,yes
232,36,technician,married,unknown,no,yes,no,telephone,may,tue,322,2,nonexistent,no
233,40,technician,married,basic.9y,no,no,no,cellular,nov,wed,59,1,nonexistent,no
234,29,services,married,university.degree,no,no,yes,cellular,jun,fri,89,2,nonexistent,no
235,29,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,166,1,nonexistent,no
236,46,admin.,married,high.school,unknown,yes,no,cellular,apr,mon,9,1,nonexistent,no
237,51,admin.,married,high.school,no,no,yes,telephone,jun,thu,222,1,nonexistent,no
238,27,services,single,high.school,no,yes,no,cellular,jul,mon,306,2,nonexistent,no
239,58,management,married,university.degree,no,yes,no,cellular,may,mon,504,1,nonexistent,no
240,29,technician,single,university.degree,no,yes,no,cellular,jun,wed,101,1,nonexistent,no
241,43,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,thu,154,2,nonexistent,no
242,34,technician,divorced,professional.course,no,yes,no,cellular,aug,tue,104,3,nonexistent,no
243,27,technician,single,basic.9y,unknown,no,no,cellular,jul,fri,171,7,nonexistent,no
244,53,management,married,university.degree,no,yes,no,cellular,nov,thu,186,1,nonexistent,no
245,44,admin.,single,professional.course,no,yes,no,telephone,nov,thu,25,8,nonexistent,no
246,30,blue-collar,married,basic.6y,no,yes,yes,cellular,nov,thu,74,1,nonexistent,no
247,32,admin.,single,university.degree,no,yes,no,cellular,aug,thu,206,1,nonexistent,no
248,30,technician,single,high.school,no,no,no,cellular,aug,mon,638,4,nonexistent,yes
249,46,admin.,divorced,university.degree,unknown,yes,no,cellular,jul,thu,51,1,nonexistent,no
250,39,services,divorced,high.school,no,no,no,cellular,may,thu,186,1,nonexistent,no
251,28,technician,divorced,professional.course,unknown,yes,no,telephone,may,thu,174,1,nonexistent,no
252,34,admin.,unknown,university.degree,no,yes,no,cellular,jul,thu,243,1,nonexistent,no
253,50,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,1130,3,nonexistent,yes
254,59,technician,married,unknown,no,yes,no,telephone,may,mon,386,1,nonexistent,no
255,27,services,single,high.school,no,yes,no,cellular,may,thu,193,1,nonexistent,no
256,32,technician,single,professional.course,no,no,no,cellular,jul,tue,52,5,nonexistent,no
257,29,admin.,single,university.degree,no,no,no,telephone,may,thu,141,2,nonexistent,no
260,52,housemaid,married,basic.4y,unknown,yes,yes,cellular,aug,mon,85,2,nonexistent,no
261,47,technician,divorced,high.school,no,yes,no,cellular,nov,mon,182,1,failure,yes
262,43,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,tue,393,2,nonexistent,no
263,36,technician,married,professional.course,no,yes,no,telephone,may,mon,232,3,nonexistent,no
264,35,technician,single,high.school,no,yes,no,telephone,jun,mon,92,2,nonexistent,no
265,56,management,married,university.degree,no,no,yes,telephone,jul,wed,154,1,nonexistent,no
266,55,unemployed,married,university.degree,no,yes,no,cellular,nov,thu,303,2,nonexistent,no
267,55,services,single,high.school,no,no,yes,cellular,may,wed,107,2,nonexistent,no
268,45,admin.,married,university.degree,no,yes,no,cellular,aug,mon,226,1,nonexistent,no
269,30,technician,married,university.degree,unknown,no,no,telephone,may,tue,191,1,nonexistent,no
270,30,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,tue,168,2,nonexistent,no
271,58,admin.,married,high.school,no,yes,no,cellular,nov,fri,441,1,nonexistent,no
272,50,entrepreneur,married,basic.4y,no,yes,no,cellular,nov,tue,286,1,nonexistent,no
273,26,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,fri,151,2,nonexistent,no
274,33,admin.,single,university.degree,no,no,no,cellular,jul,mon,546,2,nonexistent,no
275,34,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,248,3,nonexistent,no
276,34,admin.,married,high.school,no,yes,no,telephone,jul,thu,12,1,failure,no
277,29,technician,single,university.degree,no,no,no,cellular,apr,mon,354,1,nonexistent,no
278,37,housemaid,single,university.degree,no,no,no,cellular,may,fri,288,2,nonexistent,yes
279,24,services,single,professional.course,no,yes,no,cellular,jul,wed,55,1,nonexistent,no
281,35,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,343,2,nonexistent,no
282,24,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,297,1,nonexistent,no
283,33,blue-collar,married,basic.6y,no,yes,no,cellular,jul,tue,376,1,nonexistent,no
285,41,self-employed,married,basic.4y,no,no,no,telephone,jun,mon,174,1,nonexistent,no
286,37,technician,divorced,professional.course,no,no,no,cellular,aug,tue,80,1,nonexistent,no
287,44,blue-collar,married,professional.course,unknown,no,no,cellular,jul,tue,181,11,nonexistent,no
288,57,retired,married,high.school,no,no,no,cellular,aug,wed,115,3,nonexistent,no
289,31,entrepreneur,unknown,university.degree,no,no,no,cellular,oct,thu,164,1,nonexistent,yes
290,56,retired,married,basic.4y,no,no,no,cellular,nov,tue,79,1,nonexistent,no
291,31,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,95,7,nonexistent,no
293,55,retired,married,university.degree,unknown,no,no,telephone,may,thu,207,1,nonexistent,no
294,34,technician,married,university.degree,no,yes,no,cellular,may,thu,69,1,nonexistent,no
295,33,blue-collar,single,high.school,no,yes,no,telephone,may,wed,202,2,nonexistent,no
296,41,management,married,unknown,no,no,no,telephone,may,tue,172,1,nonexistent,no
297,50,management,married,university.degree,no,no,no,cellular,nov,thu,146,1,failure,no
298,31,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,wed,91,4,nonexistent,no
299,47,management,married,basic.4y,unknown,no,no,telephone,may,fri,463,2,nonexistent,no
300,49,entrepreneur,married,high.school,no,no,no,cellular,may,tue,141,1,nonexistent,no
301,59,self-employed,married,professional.course,no,yes,no,cellular,apr,mon,274,5,nonexistent,no
302,47,admin.,married,university.degree,no,no,no,telephone,may,mon,408,2,nonexistent,no
303,46,admin.,married,university.degree,no,yes,no,telephone,may,mon,243,4,nonexistent,no
304,26,management,single,university.degree,no,no,no,cellular,may,thu,715,1,nonexistent,yes
305,41,self-employed,married,university.degree,no,no,no,telephone,may,tue,402,1,nonexistent,no
306,40,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,198,3,nonexistent,no
307,47,services,married,high.school,no,no,no,cellular,may,thu,176,1,nonexistent,no
308,27,admin.,single,university.degree,no,no,no,cellular,jul,mon,130,1,nonexistent,no
310,42,admin.,married,university.degree,no,yes,yes,cellular,jul,tue,156,1,nonexistent,no
311,39,technician,single,professional.course,no,yes,no,cellular,nov,tue,58,1,nonexistent,no
312,29,admin.,single,high.school,no,no,no,cellular,may,wed,290,1,nonexistent,no
313,46,blue-collar,married,basic.4y,no,unknown,unknown,telephone,may,mon,445,2,nonexistent,no
314,41,admin.,married,university.degree,no,yes,no,telephone,may,thu,55,1,nonexistent,no
315,36,housemaid,married,basic.4y,no,no,no,telephone,may,mon,85,1,nonexistent,no
316,52,admin.,married,high.school,no,no,no,cellular,aug,wed,114,6,nonexistent,no
317,32,admin.,married,high.school,no,yes,no,cellular,jul,wed,154,1,nonexistent,no
318,31,services,single,high.school,no,yes,no,telephone,may,fri,31,9,nonexistent,no
319,45,blue-collar,married,basic.6y,unknown,yes,no,cellular,aug,wed,134,1,nonexistent,no
320,48,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,132,1,nonexistent,no
321,32,admin.,single,high.school,no,no,no,telephone,may,mon,611,2,nonexistent,no
322,33,admin.,married,high.school,no,no,no,cellular,nov,thu,133,4,nonexistent,no
323,41,entrepreneur,single,high.school,no,yes,no,telephone,jul,thu,153,2,nonexistent,no
324,53,technician,married,high.school,no,yes,no,telephone,may,wed,274,2,nonexistent,no
325,51,services,married,unknown,no,no,no,cellular,aug,fri,547,3,nonexistent,no
326,26,admin.,single,university.degree,no,no,no,cellular,oct,fri,306,1,nonexistent,yes
327,27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,1,nonexistent,no
328,31,technician,married,professional.course,no,yes,no,cellular,nov,thu,144,2,nonexistent,no
329,44,blue-collar,married,basic.4y,no,no,no,cellular,jul,tue,345,5,nonexistent,no
330,35,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,thu,34,1,nonexistent,no
331,44,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,272,2,nonexistent,no
332,41,blue-collar,married,professional.course,unknown,no,no,cellular,nov,tue,124,1,nonexistent,no
333,34,technician,married,professional.course,no,yes,yes,cellular,nov,fri,379,2,nonexistent,no
334,34,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,178,1,nonexistent,no
335,43,management,married,university.degree,no,yes,no,cellular,may,fri,663,1,nonexistent,yes
336,39,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,143,1,nonexistent,no
338,35,technician,divorced,professional.course,no,no,no,cellular,may,fri,354,1,nonexistent,yes
339,47,services,married,high.school,unknown,yes,yes,telephone,jun,wed,55,1,nonexistent,no
340,27,management,single,university.degree,no,no,no,cellular,may,mon,52,4,nonexistent,no
341,37,admin.,married,high.school,unknown,no,no,cellular,may,mon,547,1,nonexistent,no
342,52,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,397,1,nonexistent,no
343,43,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,141,2,nonexistent,no
344,31,admin.,single,university.degree,no,yes,no,cellular,aug,fri,76,4,nonexistent,no
